åproduct,MR_id,field-1-label-src,field-1-value,field-2-label-src,field-2-value,field-3-label-src,field-3-value,field-4-label-src,field-4-value,field-5-label-src,field-5-value
"(1) Herman Miller Aluminum Group Management Chair Teal Multiple Available","MR9680","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames 
Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. The influential architectural critic Esther McCoy called their molded plywood chair “the chair of the century”. Soon production was taken over by Herman Miller, Inc., who continues to produce the furniture in the United States to this day. Another company, Vitra International, manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s. 
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) Herman Miller Eames Aluminum Group Management Chair Light Teal

1958 Design 
The Aluminum Group chairs were originally developed in 1958 as a special project by Charles and Ray Eames for a private residence being designed by Eero Saarinen and Alexander Girard. The seat-back suspension was a major technical achievement and represented a departure from the concept of the chair as a solid shell. 

Features 
Cast-Aluminum Side Ribs 
5-Star Base on casters 
Swivel and tilt seat 
Color Guard Vinyl- Light Teal Upholstery 
Ribbed Intervals for a Clean, Refined Appearance  Compare our price: The price for one chair NEW is $1149

PRICE IS PER (1) CHAIR; MULTIPLE AVAILABLE (see last picture) 
OTHER HERMAN MILLER CHAIRS AVAILABLE","http://www.metroretrofurniture.com/images/pictures/dims.jpg","23"" Width x 22"" Depth x 34"" Height 
Seat Height 17.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good to ExcellentMinor Scratches"
"30.5"" Vintage Stainless Steel Glass Tea Serving Cart","MR9163","http://www.metroretrofurniture.com/images/pictures/descript.jpg","30.5"" Vintage Stainless Steel Tea Serving Cart","http://www.metroretrofurniture.com/images/pictures/dims.jpg","30.5"" Length x 16.25"" Width x 32"" Height 
30"" 1st shelf height 
11"" 2nd shelf height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage. Age appropriate wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Blanket Wrap Shipping ONLY Click here for other shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(1) NEW Ligne Roset Spirograph Silk Throw Pillow RED","MR9983","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Ligne Roset 
Since 1860 
In post-war 1950 Antoine’s grandson, Jean, quickly shifted the focus of the company- which now employed 50 people-to contract furniture. Tables, chairs and beds were produced for commercial usage and were utilized in a variety of institutions, including schools, universities, hospitals and retirement homes. Intense growth soon followed and, 10 years later, Jean Roset entered the domestic market.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) Ligne Roset ""Spirograph"" Silk Throw Pillow","http://www.metroretrofurniture.com/images/pictures/dims.jpg","19.75"" width x 19.75"" length","http://www.metroretrofurniture.com/images/pictures/condit.jpg","NEW","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Free shipping USPS(Shipping within the 48 States U.S. Mainland. Hawaii or Alaska are not included) Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) QUOTED FOR U.S. ONLYInternational Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to Quote Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
"Vintage Herman Miller Eames Fabric Fiberglass Side Shell Red ~ Choose Your Base","MR9505","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames 
Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s. 
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Eames Red Fabric Fiberglass Side Shell Chair and your Choice of Base 
1950-1953 Design 
Bright red fabric upholstery with white fiberglass shell 
Modernica Eiffel Tower Base or your choice of base 
 Base> Your choice of base Please note some bases have additional cost 
1) Herman Miller 4-legged chromed legs No additional cost (not photographed) 
2) Herman Miller Aluminum Casters Base No additional cost 
3) Modernica Eiffel Tower Base No additional cost 
4) Modernica Low Rod Base No additional cost 5) Modernica Wooden Rocker Base Additional $40 for each base6) Modernica Dowel Base Additional $80 for each base7) Modernica Dowel Barstool Base Additional $306 for each base
Please specify base when ordering
PRICE INCLUDES (1) CHAIR WITH YOUR CHOICE OF BASEPlease note some bases have additional cost   Other colors available","http://www.metroretrofurniture.com/images/pictures/dims.jpg","18.5 inch Wide x 22 inch Deep x 31 3/8 inch High
Seat Height-18 inches","http://www.metroretrofurniture.com/images/pictures/condit.jpg","very good vintage 
age appropriate wear"
"8 Herman Miller Aluminum Group Management Chair Light Orange Upholstery ~ Multiple Available","MR9681","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames 
Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. The influential architectural critic Esther McCoy called their molded plywood chair “the chair of the century”. Soon production was taken over by Herman Miller, Inc., who continues to produce the furniture in the United States to this day. Another company, Vitra International, manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s. 
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) Herman Miller Eames Aluminum Group Management Chair Light Orange Color

1958 Design 
The Aluminum Group chairs were originally developed in 1958 as a special project by Charles and Ray Eames for a private residence being designed by Eero Saarinen and Alexander Girard. The seat-back suspension was a major technical achievement and represented a departure from the concept of the chair as a solid shell. 

Features 
Cast-Aluminum Side Ribs 
5-Star Base on casters 
Swivel and tilt seat 
Crepe -100% recycled polyester upholstery 
Ribbed Intervals for a Clean, Refined Appearance  Compare our price: The price for one chair NEW is $1149

PRICE IS PER (1) CHAIR; MULTIPLE AVAILABLE (see last picture) 
OTHER HERMAN MILLER CHAIRS AVAILABLE","http://www.metroretrofurniture.com/images/pictures/dims.jpg","23"" Width x 22"" Depth x 34"" Height 
Seat Height 17.5""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good to ExcellentMinor Scratches"
"48"" Mid Century Modern Chrome Wood Desk","MR9457","http://www.metroretrofurniture.com/images/pictures/descript.jpg","48"" Mid Century Modern Chrome Wood Desk 

Wood construction rested on mirrored chrome base 
(3) Regular drawers 
Compartment for drawing storage","http://www.metroretrofurniture.com/images/pictures/dims.jpg","48"" Length x 26.5"" Depth x 30"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click here for shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"10ft x 5ft Karabagh Caucasian Russia Rectangle Rug ~75% off from Original price $6900","MR9256","http://www.metroretrofurniture.com/images/pictures/descript.jpg","10` x 5` Karabagh Caucasian Russia Rug Wine","http://www.metroretrofurniture.com/images/pictures/dims.jpg","120"" Length x 60"" Width","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vinatge","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Blanket Wrap Shipping ONLY Click here for other shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"12ft Vintage Boat Shaped Walnut Conference Table PRICE REDUCED HOLD","MR9093","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Vintage Boat Shaped Walnut Conference Table 

Features: 
Boat shaped walnut top 
Six-legged table base for major stability 

This ad includes (1) conference table; (12) armchairs photographed available","http://www.metroretrofurniture.com/images/pictures/dims.jpg","12ft width x 47"" depth x 30.25"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good Vintage 
Age Appropriate Wear","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Blanket Wrap Shipping ONLY Click here for other shipping options   Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"EVANS Charles Eames Dish Coffee Table for Herman Miller","MR9211","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Evans Products Company 
Molded Plywood Division 
Herman Miller 
Distributor","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Charles and Ray Eames
Charles and Ray married in 1941 and moved to California where they continued their furniture design work with molding plywood. During the war they were commissioned by the Navy to produce molded plywood splints, stretchers and experimental glider shells. In 1946, Evans Products began producing the Eameses` molded plywood furniture. Their molded plywood chair was called ""the chair of the century"" by the influential architectural critic Esther McCoy. Soon production was taken over by Herman Miller, Inc ., who continues to produce the furniture in the United States to this day. Another company, Vitra International , manufactures the furniture in Europe. The Eameses continued to create new furniture designs into the 1970s.
Examples include the molded plastic or fiberglass chairs from the early 1950s and the famous Lounge Chair and Ottoman from 1956. Sturdy, comfortable and elegant office furniture was created in the 1960s, as well as seating designed for Dulles and O`Hare Airports. This Tandem Sling Seating is still in use in airports around the world today.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Early Edition EVANS Label Charles Eames Dish Table for Herman Miller 
USA 
Birch Veneer Charles Eames Dish Table produced by Evans Products","http://www.metroretrofurniture.com/images/pictures/dims.jpg","34"" diameter x 16"" height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Original very good 
Age appropriate wear"
"George Nelson Rosewood Thin Edge Dresser Herman Miller Reduced Original Price Was $9,500","MR9297","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Herman Miller","http://www.metroretrofurniture.com/images/pictures/designer.jpg","George Nelson

George Nelson (1908-1986) was an important modernist whose work cut across the fields of interior, industrial and exhibition design. Nelson studied architecture at Yale University in the 1920s, and in the next two decades earned a strong reputation as a writer on design for Architectural Forum, Interiors and Fortune.
In 1945 Nelson began a long association with the Herman Miller Furniture Company of Zeeland, Michigan, where as head designer he developed an innovative line of furniture and commissioned new designs from others. His first commission was Isamu Noguchi`s biomorphic glass-topped coffee table, which began production in 1947, the first of many designs that the sculptor would create for Herman Miller in the late Forties. Nelson also was responsible for bringing the designs of Charles Eames to Herman Miller, and he collaborated with R. Buckminster Fuller on a number of projects. 
Among Nelson`s own creations are classic works of Fifties design, including the bubble lamp, ball clock, marshmallow sofa and the pole-supported wall-storage system. Nelson also designed numerous exhibitions, including the 1959 American National Exhibition in Moscow, and the Chrysler Corporation display at the 1964 New York World`s Fair.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Reduced Price 20% off Original Price Was $9,500","http://www.metroretrofurniture.com/images/pictures/dims.jpg","39.75” wide x 18.5” deep x 40.5” high","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Excellent condition"
"6ft Florence Knoll Oval Walnut Conference Table Desk","MR9478","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","KNOLL","http://www.metroretrofurniture.com/images/pictures/designer.jpg","Florence Knoll 
Trained as an architect, Florence Knoll`s own pieces for Knoll are simple, architectural designs that stand the test of time. Her lounge seating, sofas, tables, and storage adapt flawlessly to any environment, with their clean, linear design and incredibly durable, high-quality construction. These pieces are built to last a lifetime - or several lifetimes. Not flashy pieces at all, Knoll said that her own work ""filled in the gaps"" for star pieces by Bertoia and Saarinen, but today we know that they stand in a class all by themselves.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","6ft Florence Knoll Oval Walnut Conference Table 

Walnut 1.25"" thick knife edge top 
4-Star polished chrome base 
Heavy gauge welded steel legs and frame","http://www.metroretrofurniture.com/images/pictures/dims.jpg","78"" Width x 48"" Depth x 28"" Height","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good vintage"
"Mid Century Modern STEELCASE Metal Arm Chair 4 Star","MR9374","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","STEELCASE","http://www.metroretrofurniture.com/images/pictures/descript.jpg","Vintage Task Chair 

Metal Frame 
4-Star Base on Castors","http://www.metroretrofurniture.com/images/pictures/dims.jpg","22.75""W x 25""D x 31.5""H; Seat Height 16""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very Good","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","We recommend shipping via BAX Global for $85
QUOTED FOR U.S. ONLY"
"(1) Vintage Industrial Age Swivel Adjustable Task Chair","MR9314","","null","","null","","null","","null","","null"
"41""x29"" Vintage Lolita Framed Italian Movie Poster","MR9585","http://www.metroretrofurniture.com/images/pictures/descript.jpg","LOLITA FRAMED VINTAGE ITALIAN MOVIE POSTER 

A framed poster from the Italian version of the 1962 film “Lolita”.","http://www.metroretrofurniture.com/images/pictures/dims.jpg","41"" x 29""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","Very good condition.","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Click Here for Shipping Options    Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) International Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to QuoteThank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000","","null"
"(1) NEW Ligne Roset Ipn Platinum Side End Table FREE SHIPPING & 25% DISCOUNT!!!! TWO Available!","MR9881","http://www.metroretrofurniture.com/images/pictures/manufac.jpg","Ligne Roset 
Since 1860 
In post-war 1950 Antoine’s grandson, Jean, quickly shifted the focus of the company- which now employed 50 people-to contract furniture. Tables, chairs and beds were produced for commercial usage and were utilized in a variety of institutions, including schools, universities, hospitals and retirement homes. Intense growth soon followed and, 10 years later, Jean Roset entered the domestic market.","http://www.metroretrofurniture.com/images/pictures/descript.jpg","(1) Ligne Roset Platinum Side Table","http://www.metroretrofurniture.com/images/pictures/dims.jpg","H: 12.5"" x W: 13.25"" x D: 13.25""","http://www.metroretrofurniture.com/images/pictures/condit.jpg","NEW","http://www.metroretrofurniture.com/images/pictures/shipp.jpg","Free Shipping USPS(Shipping within the 48 States U.S. Mainland. Hawaii or Alaska are not included) Preparation, Timing and ShipmentPlease Allow 7 to 10 Business Days Plus Shipping Time, Shipping Varies By Location and Shipping Method Chosen.If Item needs restoration additional time will be required(Determined by item or items being refinished or reupholstered) QUOTED FOR U.S. ONLYInternational Shipping  When requesting international shipping rates, please allow Us 3 to 5 Days to Quote Thank you for shopping Metro Retro Furniture for further questions please contact us at 713-473-0000"
